Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-06-20 15:06:28,FALSE,Berlin - RF29 (Foundation Run),6.82,782,01:00:02,149,162,3.3,171,182,8:48,7:40,32,--,1.07,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,77.0,No,00:00:01.9,9,87.8,00:59:33,01:01:25,123,161
Running,2024-06-19 19:30:04,FALSE,Berlin - RF29 (Foundation Run),6.68,779,01:01:03,143,159,3.2,170,179,9:09,7:28,3,15,1.03,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,69.8,No,00:00:11.1,9,87.8,01:00:55,01:05:20,7,28
Running,2024-06-18 20:18:17,FALSE,Berlin - RFF36 (Zone 3 Fast Finish Run),7.17,840,01:00:01,155,175,4.0,176,200,8:23,6:26,24,42,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,75.2,No,00:00:01.2,10,86.0,00:59:58,01:00:55,360,383
Running,2024-06-16 17:27:54,FALSE,Berlin - RL31 (Long Run),14.23,"1,709",02:07:30,154,176,4.5,171,188,8:58,8:04,108,104,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,78.8,No,00:00:02.5,18,89.6,02:05:50,02:13:52,122,171
Running,2024-06-15 19:56:00,FALSE,Berlin - RF29 (Foundation Run),6.64,770,01:00:05,143,157,3.2,171,182,9:03,7:46,7,17,1.04,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:00:04.8,9,87.8,00:59:49,01:00:50,105,125
Running,2024-06-14 11:21:48,FALSE,Berlin - RFR9 (Fartlek Run),6.81,788,01:00:02,147,174,3.6,172,221,8:49,5:27,21,7,1.06,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:00:02.1,27,89.6,00:59:41,01:02:31,117,134
Running,2024-06-13 11:25:56,FALSE,Berlin - RF29 (Foundation Run),6.71,797,01:01:13,148,167,3.4,169,184,9:07,7:45,79,60,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:01:13.1,8,84.2,01:00:42,01:16:42,117,154
Running,2024-06-12 11:33:23,FALSE,Berlin - RF29 (Foundation Run),7.02,806,01:00:34,146,166,3.6,171,188,8:38,7:26,16,21,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,68.0,No,00:00:33.6,9,84.2,01:00:09,01:03:08,117,128
Running,2024-06-11 11:26:04,FALSE,Berlin - RFF51 (Zone 4 Fast Finish Run),7.15,824,01:00:05,149,183,3.7,175,202,8:24,6:13,46,54,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,64.4,No,00:00:04.5,9,82.4,00:59:34,01:05:37,98,128
Running,2024-06-10 17:41:55,FALSE,Berlin - RRe14 (Recovery Run),2.98,326,00:43:36,109,140,1.5,139,188,14:38,8:11,32,31,0.79,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,75.2,No,00:03:36.1,4,87.8,00:43:06,00:45:39,116,140
Running,2024-06-09 17:57:54,FALSE,Berlin Running,8.50,963,01:18:22,141,164,3.4,169,188,9:13,7:55,30,25,1.03,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:04:25.8,9,86.0,01:17:48,01:25:44,117,129
Running,2024-06-08 13:38:55,FALSE,Berlin Running,5.47,638,00:43:51,158,179,4.0,176,192,8:01,6:40,44,12,1.14,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,78.8,No,00:03:55.1,6,89.6,00:43:37,00:46:54,123,154
Running,2024-06-07 18:54:20,FALSE,Berlin Running,6.50,741,00:59:47,139,163,3.1,170,222,9:12,5:28,3,7,1.03,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:04:32.4,7,82.4,00:59:07,01:51:47,114,125
Running,2024-06-06 11:13:29,FALSE,Berlin Running,7.11,863,01:05:49,151,169,3.6,169,181,9:16,7:56,66,59,1.03,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:01:01.4,8,86.0,01:05:20,01:23:31,112,156
Running,2024-06-03 17:12:32,FALSE,Berlin - RRe14 (Recovery Run),2.56,272,00:29:23,114,135,1.6,160,181,11:30,8:47,8,18,0.87,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:06:36.1,3,86.0,00:29:13,01:01:05,96,121
Running,2024-06-01 17:58:02,FALSE,Berlin Running,6.19,721,00:57:28,144,160,3.1,169,180,9:17,7:47,13,21,1.02,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,77.0,No,00:01:42.8,7,87.8,00:57:01,01:01:37,96,123
Running,2024-05-31 12:38:36,FALSE,Berlin Running,7.10,845,01:05:22,150,173,3.4,168,183,9:13,7:51,63,60,1.04,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,75.2,No,00:00:49.7,8,87.8,01:04:49,01:10:15,111,143
Running,2024-05-30 19:22:25,FALSE,Berlin Running,3.38,384,00:29:31,144,181,3.0,172,203,8:44,5:56,20,37,1.06,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:02:34.8,4,87.8,00:29:22,00:36:17,99,123
Running,2024-05-29 11:11:25,FALSE,Berlin Running,7.16,830,01:03:53,145,158,3.4,170,182,8:55,7:58,30,22,1.06,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:01:23.1,8,86.0,01:03:30,01:07:19,114,129
Running,2024-05-28 18:59:02,FALSE,Berlin Running,7.07,809,01:02:21,145,158,3.3,169,187,8:49,8:04,7,4,1.08,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,69.8,No,00:00:37.8,8,89.6,01:02:02,01:04:32,110,125
Running,2024-05-24 09:33:00,FALSE,Sarasota Running,4.15,517,00:36:12,157,182,3.4,168,179,8:43,7:40,42,38,1.10,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,86.0,No,00:01:21.4,5,98.6,00:35:49,00:40:34,-9,10
Running,2024-05-21 12:12:53,FALSE,Sarasota Running,4.00,498,00:32:23,167,188,3.8,170,180,8:05,7:35,99,102,1.17,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:01.2,5,98.6,00:32:12,00:33:36,-3,75
Running,2024-05-18 18:43:09,FALSE,Sarasota Running,4.55,548,00:45:16,138,163,2.7,164,177,9:56,8:36,16,18,0.99,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,91.4,No,00:04:59.6,5,93.2,00:44:54,00:50:56,54,72
Running,2024-05-16 15:08:00,FALSE,Berlin Running,5.01,573,00:44:50,142,158,3.0,170,186,8:58,7:56,53,50,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:02.2,6,91.4,00:44:23,00:50:58,117,136
Running,2024-05-15 10:52:29,FALSE,Berlin Running,7.08,844,01:02:53,151,167,3.5,170,181,8:53,7:27,83,79,1.07,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,78.8,No,00:00:44.3,8,87.8,01:02:28,01:18:45,123,162
Running,2024-05-14 11:04:29,FALSE,Berlin Running,7.08,814,00:59:42,147,164,3.6,172,186,8:26,7:39,25,17,1.11,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,78.8,No,00:00:36.6,8,87.8,00:59:15,01:03:30,114,129
Running,2024-05-13 11:08:55,FALSE,Berlin Running,3.38,393,00:30:48,139,161,2.7,169,185,9:08,8:06,63,55,1.04,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,75.2,No,00:03:17.9,4,84.2,00:30:16,00:52:06,62,95
Running,2024-05-12 15:25:31,FALSE,Berlin Running,0.57,67,00:05:14.6,141,152,1.2,174,183,9:10,8:51,--,--,1.01,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:05:14.6,1,84.2,00:05:14,00:05:22.1,162,167
Running,2024-05-12 12:05:08,FALSE,Berlin Running,11.63,"1,365",01:48:33,136,152,3.7,171,183,9:20,8:20,120,94,1.01,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:05:54.7,12,86.0,01:48:00,01:56:16,117,180
Running,2024-05-11 11:34:59,FALSE,Berlin Running,4.14,475,00:33:22,148,163,3.4,174,188,8:03,7:02,12,15,1.15,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,69.8,No,00:01:12.5,5,84.2,00:33:13,00:34:40,62,70
